alumno_codigo,carrera_codigo,plan_codigo,cohorte,anio_ingreso,anio_cursada,estado_trayectoria,vigente_desde,vigente_hasta,observaciones
1db32061-6667-403c-a5b1-ee5df6ac5b46,ING,ING-PLAN,,,1,ACTIVO,,,Legajo 26685
bdfbd6e3-5240-45b5-91b0-3513ea7b1412,ING,ING-PLAN,,,1,ACTIVO,,,Legajo 26748
edc7f5f8-aec0-4eb1-b8ec-b1b104506c5b,ING,ING-PLAN,,,1,ACTIVO,,,Legajo 26607
eabba9a3-e532-4de1-a1e6-d1da8794cd72,ING,ING-PLAN,,,1,ACTIVO,,,Legajo 26133
2ec9afe7-49a7-42b4-bde0-d227426feb9e,ING,ING-PLAN,,,1,ACTIVO,,,Legajo 25574
544a37ff-81a5-4b3c-8609-5a1aa919896e,ING,ING-PLAN,,,1,ACTIVO,,,Legajo 26521
b0f10a80-67bf-4f42-84b6-402167915568,ING,ING-PLAN,,,1,ACTIVO,,,Legajo 26464
4d25173e-851c-4ce2-bf71-d52033cb63c0,ING,ING-PLAN,,,1,ACTIVO,,,Legajo 25409
a846423c-5e5b-47d6-9977-a60001f15d90,ING,ING-PLAN,,,1,ACTIVO,,,Legajo 26432
bf92fc38-4f08-4ff1-a2b0-510f4906a3c4,ING,ING-PLAN,,,1,ACTIVO,,,Legajo 26619
ff8fceca-d25f-4517-a70a-f996085f2c56,ING,ING-PLAN,,,1,ACTIVO,,,Legajo 26715
70e69fd4-846d-4176-a6af-31fe95e34eeb,ING,ING-PLAN,,,1,ACTIVO,,,Legajo 26771
72d3fc85-481f-4cd9-aab2-93e5eb29ebba,ING,ING-PLAN,,,1,ACTIVO,,,Legajo 26325
0ba610a5-1eb6-4ede-8fb0-eee67de22e5d,ING,ING-PLAN,,,1,ACTIVO,,,Legajo 26730
0a1a020c-b6b0-40c6-b03e-d17bdeea297c,ING,ING-PLAN,,,1,ACTIVO,,,Legajo 26249
a5f4a868-1a53-4974-bac8-fecf23e66c03,ING,ING-PLAN,,,1,ACTIVO,,,Legajo 26679
