plan_codigo,materia_destino_codigo,materia_requerida_codigo,tipo_correlativa,requisito,grupo_logico,aplica_para,estado,observaciones
GEO-PLAN,GEO10,GEO02,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
GEO-PLAN,GEO11,GEO01,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
GEO-PLAN,GEO12,GEO04,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
GEO-PLAN,GEO13,GEO04,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
GEO-PLAN,GEO15,GEO05,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
GEO-PLAN,GEO16,GEO06,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
GEO-PLAN,GEO21,GEO09,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
GEO-PLAN,GEO22,GEO10,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
GEO-PLAN,GEO23,GEO11,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
GEO-PLAN,GEO24,GEO12,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
GEO-PLAN,GEO25,GEO15,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
GEO-PLAN,GEO26,GEO17,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
GEO-PLAN,GEO30,GEO10,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
GEO-PLAN,GEO30,GEO16,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
GEO-PLAN,GEO30,GEO17,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
GEO-PLAN,GEO30,GEO21,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
GEO-PLAN,GEO33,GEO22,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
GEO-PLAN,GEO34,GEO26,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
GEO-PLAN,GEO36,GEO26,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
GEO-PLAN,GEO36,GEO27,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
GEO-PLAN,GEO38,GEO22,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
GEO-PLAN,GEO38,GEO27,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
GEO-PLAN,GEO38,GEO28,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
GEO-PLAN,GEO38,GEO29,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
GEO-PLAN,GEO38,GEO30,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
TRA-PLAN,TRA11,TRA01,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
TRA-PLAN,TRA11,TRA02,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
TRA-PLAN,TRA11,TRA03,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
TRA-PLAN,TRA12,TRA01,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
TRA-PLAN,TRA12,TRA02,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
TRA-PLAN,TRA13,TRA01,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
TRA-PLAN,TRA13,TRA03,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
TRA-PLAN,TRA14,TRA01,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
TRA-PLAN,TRA14,TRA04,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
TRA-PLAN,TRA15,TRA05,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
TRA-PLAN,TRA15,TRA09,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
TRA-PLAN,TRA16,TRA01,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
TRA-PLAN,TRA16,TRA06,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
TRA-PLAN,TRA17,TRA04,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
TRA-PLAN,TRA17,TRA07,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
TRA-PLAN,TRA18,TRA04,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
TRA-PLAN,TRA18,TRA07,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
TRA-PLAN,TRA19,TRA01,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
TRA-PLAN,TRA19,TRA04,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
TRA-PLAN,TRA19,TRA10,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
TRA-PLAN,TRA20,TRA11,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
TRA-PLAN,TRA20,TRA12,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
TRA-PLAN,TRA20,TRA13,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
TRA-PLAN,TRA20,TRA15,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
TRA-PLAN,TRA21,TRA11,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
TRA-PLAN,TRA21,TRA12,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
TRA-PLAN,TRA22,TRA17,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
TRA-PLAN,TRA22,TRA18,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
TRA-PLAN,TRA23,TRA11,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
TRA-PLAN,TRA23,TRA13,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
TRA-PLAN,TRA23,TRA18,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
TRA-PLAN,TRA24,TRA11,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
TRA-PLAN,TRA24,TRA16,REGULAR,APROBADA,,CURSAR_Y_RENDIR,ACTIVA,
