plan_codigo,materia_codigo,docente_codigo,rol_en_materia,estado_asignacion,vigencia_desde,vigencia_hasta,docente_reemplazado_codigo,requiere_mesa,observaciones
ING-PLAN,ING01,dc3f4763-8a35-4460-a1e5-05f0857a44fe,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
ING-PLAN,ING03,d0110551-c240-4034-b20b-66950365f04b,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
ING-PLAN,ING04,be5b1efc-32b0-4c6c-a096-b87dfd16843c,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
ING-PLAN,ING05,f422154c-ed91-490d-965d-33a8b38821b6,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
ING-PLAN,ING06,3dc3a1c9-36f4-4300-bc6a-ba8b5d6e7f26,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
ING-PLAN,ING07,bbf0ba09-46a4-467e-a843-21806430a5af,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
ING-PLAN,ING08,56ab6925-53c4-49f5-958b-5369ebce94e4,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
ING-PLAN,ING09,dc544e70-59c3-4611-85bb-45ffb95f970f,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
ING-PLAN,ING10,8af07ff2-0481-46db-90fd-edbc33364a30,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
ING-PLAN,ING11,8af07ff2-0481-46db-90fd-edbc33364a30,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
ING-PLAN,ING12,be5b1efc-32b0-4c6c-a096-b87dfd16843c,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
ING-PLAN,ING13,02097d24-7a35-4286-8eaa-748a30658304,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
ING-PLAN,ING14,5ce3cc5f-7950-4fce-9ef7-a669c6666adf,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
ING-PLAN,ING15,f422154c-ed91-490d-965d-33a8b38821b6,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
ING-PLAN,ING16,3dc3a1c9-36f4-4300-bc6a-ba8b5d6e7f26,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
ING-PLAN,ING17,02097d24-7a35-4286-8eaa-748a30658304,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
ING-PLAN,ING18,148d7f02-1791-4b52-b158-06f29259c292,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
ING-PLAN,ING19,dc544e70-59c3-4611-85bb-45ffb95f970f,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
ING-PLAN,ING20,56ab6925-53c4-49f5-958b-5369ebce94e4,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
ING-PLAN,ING21,4efb651b-a57e-4d2d-8ed0-18f5c3ca6485,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
ING-PLAN,ING22,18c7d378-e244-41a1-8198-341e6adaea94,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
ING-PLAN,ING24,be5b1efc-32b0-4c6c-a096-b87dfd16843c,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
ING-PLAN,ING25,3dc3a1c9-36f4-4300-bc6a-ba8b5d6e7f26,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
ING-PLAN,ING26,d82903b0-c96f-4d24-a7dd-648d847ee83d,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
ING-PLAN,ING27,be5b1efc-32b0-4c6c-a096-b87dfd16843c,CO_DOCENTE,ACTIVO,,,,SI,Practica profesional multidocente: definir titular para mesa.
ING-PLAN,ING27,43711171-d23d-49bb-a5e3-425c044e05e2,TITULAR,ACTIVO,,,,SI,Practica profesional multidocente: definir titular para mesa. Titular confirmado por revision institucional.
ING-PLAN,ING28,dc544e70-59c3-4611-85bb-45ffb95f970f,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
ING-PLAN,ING29,ae357af9-6e6b-4187-b470-6f00402955b8,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
ING-PLAN,ING30,6bfd3924-de1b-4aec-a9fd-e85ce7d3ff82,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
ING-PLAN,ING31,4efb651b-a57e-4d2d-8ed0-18f5c3ca6485,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
ING-PLAN,ING32,8faaebeb-ca1d-4683-828e-dcb0897869fc,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
ING-PLAN,ING34,dc544e70-59c3-4611-85bb-45ffb95f970f,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
ING-PLAN,ING35,d0110551-c240-4034-b20b-66950365f04b,CO_DOCENTE,ACTIVO,,,,SI,Practica profesional multidocente: definir titular para mesa.
ING-PLAN,ING35,43711171-d23d-49bb-a5e3-425c044e05e2,TITULAR,ACTIVO,,,,SI,Practica profesional multidocente: definir titular para mesa. Titular confirmado por revision institucional.
ING-PLAN,ING36,dc544e70-59c3-4611-85bb-45ffb95f970f,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
ING-PLAN,ING37,d82903b0-c96f-4d24-a7dd-648d847ee83d,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
ING-PLAN,ING38,ae357af9-6e6b-4187-b470-6f00402955b8,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
ING-PLAN,ING39,6bfd3924-de1b-4aec-a9fd-e85ce7d3ff82,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
ING-PLAN,ING40,f0de6105-0785-497b-954f-efa07cb37266,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
QUI-PLAN,QUI01,be5b1efc-32b0-4c6c-a096-b87dfd16843c,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
QUI-PLAN,QUI02,d1bd0422-9d1e-41bd-a0c3-5a92081227d2,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
QUI-PLAN,QUI03,f422154c-ed91-490d-965d-33a8b38821b6,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
QUI-PLAN,QUI05,49237fcb-cba1-4c6d-8101-cca05b6397ab,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
QUI-PLAN,QUI07,49237fcb-cba1-4c6d-8101-cca05b6397ab,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
QUI-PLAN,QUI09,84d61b32-33fb-4320-a9f9-0399a08f3774,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
QUI-PLAN,QUI10,d1bd0422-9d1e-41bd-a0c3-5a92081227d2,TITULAR,ACTIVO,,,,SI,Practica profesional multidocente: definir titular para mesa. Titular confirmado por revision institucional.
QUI-PLAN,QUI11,8eac82a8-cfc3-4e8c-8d8f-a13f007c8f55,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
QUI-PLAN,QUI12,d1bd0422-9d1e-41bd-a0c3-5a92081227d2,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
QUI-PLAN,QUI13,d0110551-c240-4034-b20b-66950365f04b,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
QUI-PLAN,QUI14,ada85d57-7c7e-4531-a381-1c2bdd336d2b,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
QUI-PLAN,QUI15,06be287b-5a1e-44ec-99ef-21921f67571f,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
QUI-PLAN,QUI16,b98717b3-a970-4da2-999d-d32bff2a0884,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
QUI-PLAN,QUI17,d1bd0422-9d1e-41bd-a0c3-5a92081227d2,TITULAR,ACTIVO,,,,SI,Practica profesional multidocente: definir titular para mesa. Titular confirmado por revision institucional.
QUI-PLAN,QUI17,5ce3cc5f-7950-4fce-9ef7-a669c6666adf,CO_DOCENTE,ACTIVO,,,,SI,Practica profesional multidocente: definir titular para mesa.
QUI-PLAN,QUI17,1ba840b1-3a72-4e9f-8a7e-1b23dbca51ff,CO_DOCENTE,ACTIVO,,,,SI,Practica profesional multidocente: definir titular para mesa.
QUI-PLAN,QUI18,d758ccba-3df7-4d58-9a17-f4029c7c2a7f,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
QUI-PLAN,QUI20,d758ccba-3df7-4d58-9a17-f4029c7c2a7f,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
QUI-PLAN,QUI22,148d7f02-1791-4b52-b158-06f29259c292,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
QUI-PLAN,QUI23,259b5051-9f85-491d-a0ce-57d50501ab18,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
QUI-PLAN,QUI24,c1b765e2-90b0-47c4-bb6e-c96ce82b14fe,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
QUI-PLAN,QUI26,bb77416a-4ed9-4111-b347-72c1a3b0b7b9,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
QUI-PLAN,QUI28,c968f21f-b70c-4781-9376-0b67cdb6b415,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
QUI-PLAN,QUI29,d758ccba-3df7-4d58-9a17-f4029c7c2a7f,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
QUI-PLAN,QUI30,76b6dddd-1c13-40da-b7a5-111d1c0da41d,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
QUI-PLAN,QUI31,c3cf2b6d-dea3-47bc-9fb4-0e56560c2caf,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
QUI-PLAN,QUI32,8faaebeb-ca1d-4683-828e-dcb0897869fc,,ACTIVO,,,,SI,Docente detectado desde horarios; completar rol_en_materia si corresponde titularidad institucional.
