plan_origen_codigo,materia_origen_codigo,plan_destino_codigo,materia_destino_codigo,tipo_equivalencia,alcance,requiere_resolucion,estado,vigente_desde,vigente_hasta,observaciones
LAB-2015,LAB01,LAB-2024,LAB26,TOTAL,Cursada y final,NO,ACTIVA,,,Equivalencia institucional Laboratorio 2015/2024.
LAB-2015,LAB02,LAB-2024,LAB27,TOTAL,Cursada y final,NO,ACTIVA,,,Equivalencia institucional Laboratorio 2015/2024.
LAB-2015,LAB03,LAB-2024,LAB28,TOTAL,Cursada y final,NO,ACTIVA,,,Equivalencia institucional Laboratorio 2015/2024.
LAB-2015,LAB04,LAB-2024,LAB29,TOTAL,Cursada y final,NO,ACTIVA,,,Equivalencia institucional Laboratorio 2015/2024.
LAB-2015,LAB05,LAB-2024,LAB30,TOTAL,Cursada y final,NO,ACTIVA,,,Equivalencia institucional Laboratorio 2015/2024.
LAB-2015,LAB06,LAB-2024,LAB31,TOTAL,Cursada y final,NO,ACTIVA,,,Equivalencia institucional Laboratorio 2015/2024.
LAB-2015,LAB07,LAB-2024,LAB33,TOTAL,Cursada y final,NO,ACTIVA,,,Equivalencia institucional Laboratorio 2015/2024.
LAB-2015,LAB08,LAB-2024,LAB32,TOTAL,Cursada y final,NO,ACTIVA,,,Equivalencia institucional Laboratorio 2015/2024.
LAB-2015,LAB09,LAB-2024,LAB34,TOTAL,Cursada y final,NO,ACTIVA,,,Equivalencia institucional Laboratorio 2015/2024.
LAB-2015,LAB10,LAB-2024,LAB35,TOTAL,Cursada y final,NO,ACTIVA,,,Equivalencia institucional Laboratorio 2015/2024.
LAB-2015,LAB11,LAB-2024,LAB40,TOTAL,Cursada y final,NO,ACTIVA,,,Equivalencia institucional Laboratorio 2015/2024.
LAB-2015,LAB12,LAB-2024,LAB37,TOTAL,Cursada y final,NO,ACTIVA,,,Equivalencia institucional Laboratorio 2015/2024.
LAB-2015,LAB13,LAB-2024,LAB38,TOTAL,Cursada y final,NO,ACTIVA,,,Equivalencia institucional Laboratorio 2015/2024.
LAB-2015,LAB14,LAB-2024,LAB39,TOTAL,Cursada y final,NO,ACTIVA,,,Equivalencia institucional Laboratorio 2015/2024.
LAB-2015,LAB15,LAB-2024,LAB36,TOTAL,Cursada y final,NO,ACTIVA,,,Equivalencia institucional Laboratorio 2015/2024.
LAB-2015,LAB16,LAB-2024,LAB41,TOTAL,Cursada y final,NO,ACTIVA,,,Equivalencia institucional Laboratorio 2015/2024.
LAB-2015,LAB17,LAB-2024,LAB42,TOTAL,Cursada y final,NO,ACTIVA,,,Equivalencia institucional Laboratorio 2015/2024.
LAB-2015,LAB18,LAB-2024,LAB43,TOTAL,Cursada y final,NO,ACTIVA,,,Equivalencia institucional Laboratorio 2015/2024.
LAB-2015,LAB19,LAB-2024,LAB48,TOTAL,Cursada y final,NO,ACTIVA,,,Equivalencia institucional Laboratorio 2015/2024.
LAB-2015,LAB20,LAB-2024,LAB45,TOTAL,Cursada y final,NO,ACTIVA,,,Equivalencia institucional Laboratorio 2015/2024.
LAB-2015,LAB21,LAB-2024,LAB46,TOTAL,Cursada y final,NO,ACTIVA,,,Equivalencia institucional Laboratorio 2015/2024.
LAB-2015,LAB22,LAB-2024,LAB47,TOTAL,Cursada y final,NO,ACTIVA,,,Equivalencia institucional Laboratorio 2015/2024.
LAB-2015,LAB23,LAB-2024,LAB44,TOTAL,Cursada y final,NO,ACTIVA,,,Equivalencia institucional Laboratorio 2015/2024.
LAB-2015,LAB24,LAB-2024,LAB49,TOTAL,Cursada y final,NO,ACTIVA,,,Equivalencia institucional Laboratorio 2015/2024.
