plan_codigo,materia_codigo,docente_codigo,dia,hora_inicio,hora_fin,modalidad,sede,comision,observaciones
TUR-PLAN,TUR09,cf5c0b4a-1826-4c3a-85a4-258b9133afd1,JUEVES,21:10,22:35,PRESENCIAL,SAN MIGUEL,,
TUR-PLAN,TUR11,dc3f4763-8a35-4460-a1e5-05f0857a44fe,LUNES,18:20,19:40,PRESENCIAL,SAN MIGUEL,,
TUR-PLAN,TUR08,fb4aa78f-f4ee-4894-a33c-6695e90552b2,LUNES,19:40,20:20,PRESENCIAL,SAN MIGUEL,,
TUR-PLAN,TUR08,fb4aa78f-f4ee-4894-a33c-6695e90552b2,MIERCOLES,18:20,19:40,PRESENCIAL,SAN MIGUEL,,
TUR-PLAN,TUR18,517aa59a-c1e9-4be6-b871-20133a8e6500,LUNES,18:20,19:40,PRESENCIAL,SAN MIGUEL,,
TUR-PLAN,TUR10,517aa59a-c1e9-4be6-b871-20133a8e6500,LUNES,20:30,21:50,PRESENCIAL,SAN MIGUEL,,
TUR-PLAN,TUR19,dd40d31f-0867-432f-ba2b-a47c68858738,LUNES,19:40,21:10,PRESENCIAL,SAN MIGUEL,,
TUR-PLAN,TUR02,dd40d31f-0867-432f-ba2b-a47c68858738,MARTES,18:20,19:40,PRESENCIAL,SAN MIGUEL,,
TUR-PLAN,TUR15,dd40d31f-0867-432f-ba2b-a47c68858738,MARTES,21:10,22:35,PRESENCIAL,SAN MIGUEL,,
TUR-PLAN,TUR06,d008afe7-730a-4ecc-b6ec-d0eb2d7df9a6,MARTES,19:40,21:10,PRESENCIAL,SAN MIGUEL,,
TUR-PLAN,TUR08,fb4aa78f-f4ee-4894-a33c-6695e90552b2,LUNES,18:20,19:40,PRESENCIAL,SAN MIGUEL,,
TUR-PLAN,TUR07,4ec87727-7475-4a0c-932f-e7f18ea2eaf0,MIERCOLES,19:40,20:20,PRESENCIAL,SAN MIGUEL,,
TUR-PLAN,TUR12,ed98cd68-76e0-4d69-b30e-2b48326dda3e,MIERCOLES,20:30,21:10,PRESENCIAL,SAN MIGUEL,,
TUR-PLAN,TUR12,ed98cd68-76e0-4d69-b30e-2b48326dda3e,MIERCOLES,21:10,22:35,PRESENCIAL,SAN MIGUEL,,
TUR-PLAN,TUR05,8eac82a8-cfc3-4e8c-8d8f-a13f007c8f55,JUEVES,18:20,19:40,PRESENCIAL,SAN MIGUEL,,
TUR-PLAN,TUR04,383ad175-0bcf-4177-b374-a70af3601f1b,JUEVES,19:40,21:10,PRESENCIAL,SAN MIGUEL,,
TUR-PLAN,TUR01,9e7d8af8-1d0d-451b-8348-7999b612a08a,VIERNES,18:20,20:20,PRESENCIAL,SAN MIGUEL,,
