plan_codigo,materia_codigo,materia_nombre,anio_cursada,cuatrimestre,regimen,campo_formacion,formato,grupo_afin_mesa,codigos_materias_afines,requiere_mesa,tipo_mesa,orden_impresion,vigente_desde,vigente_hasta,observaciones
ING-PLAN,ING01,"PROBLEMATICA DE LA EDUCACION INICIAL, PRIMARIA Y SECUNDARIA",1,,ANUAL,,MATERIA,,,SI,REGULAR,1,,,Precargado desde snapshot local pre-Laboratorio.
ING-PLAN,ING02,SUJETO DE LA EDUCACION INICIAL Y PRIMARIA,1,,ANUAL,,MATERIA,,,SI,REGULAR,2,,,Precargado desde snapshot local pre-Laboratorio.
ING-PLAN,ING03,DIDACTICA GENERAL,1,,ANUAL,,MATERIA,,,SI,REGULAR,3,,,Precargado desde snapshot local pre-Laboratorio.
ING-PLAN,ING04,PEDAGOGIA,1,,ANUAL,,MATERIA,,,SI,REGULAR,4,,,Precargado desde snapshot local pre-Laboratorio.
ING-PLAN,ING05,PSICOLOGIA DE LA EDUCACION,1,,ANUAL,,MATERIA,,,SI,REGULAR,5,,,Precargado desde snapshot local pre-Laboratorio.
ING-PLAN,ING06,FONETICA Y FONOLOGIA INGLESA I,1,,ANUAL,,MATERIA,,,SI,REGULAR,6,,,Precargado desde snapshot local pre-Laboratorio.
ING-PLAN,ING07,"LECTURA, ESCRITURA Y ORALIDAD",1,,ANUAL,,MATERIA,,,SI,REGULAR,7,,,Precargado desde snapshot local pre-Laboratorio.
ING-PLAN,ING08,GRAMATICA INGLESA I,1,,ANUAL,,MATERIA,,,SI,REGULAR,8,,,Precargado desde snapshot local pre-Laboratorio.
ING-PLAN,ING09,PRACTICAS DISCURSIVAS EN INGLES I,1,,ANUAL,,MATERIA,,,SI,REGULAR,9,,,Precargado desde snapshot local pre-Laboratorio.
ING-PLAN,ING10,PRACTICA PROFESIONAL I,1,,ANUAL,,MATERIA,,,SI,REGULAR,10,,,Precargado desde snapshot local pre-Laboratorio.
ING-PLAN,ING11,EDI (TALLER DE ESCRITURA),1,,ANUAL,,MATERIA,,,SI,REGULAR,11,,,Precargado desde snapshot local pre-Laboratorio.
ING-PLAN,ING12,SOCIOLOGIA DE LA EDUCACION,2,,ANUAL,,MATERIA,,,SI,REGULAR,12,,,Precargado desde snapshot local pre-Laboratorio.
ING-PLAN,ING13,DIDACTICA DEL INGLES I,2,,ANUAL,,MATERIA,,,SI,REGULAR,13,,,Precargado desde snapshot local pre-Laboratorio.
ING-PLAN,ING14,SUJETO DE LA EDUCACION SECUNDARIA,2,,ANUAL,,MATERIA,,,SI,REGULAR,14,,,Precargado desde snapshot local pre-Laboratorio.
ING-PLAN,ING15,HISTORIA Y POLITICA EDUCACIONAL ARGENTINA,2,,ANUAL,,MATERIA,,,SI,REGULAR,15,,,Precargado desde snapshot local pre-Laboratorio.
ING-PLAN,ING16,FONETICA Y FONOLOGIA INGLESA II,2,,ANUAL,,MATERIA,,,SI,REGULAR,16,,,Precargado desde snapshot local pre-Laboratorio.
ING-PLAN,ING17,PRACTICA PROFESIONAL II,2,,ANUAL,,MATERIA,,,SI,REGULAR,17,,,Precargado desde snapshot local pre-Laboratorio.
ING-PLAN,ING18,TECNOLOGIA DE LA INFORMACION Y LA COMUNICACIÓN,2,,ANUAL,,MATERIA,,,SI,REGULAR,18,,,Precargado desde snapshot local pre-Laboratorio.
ING-PLAN,ING19,PRACTICAS DISCURSIVAS EN INGLES II,2,,ANUAL,,MATERIA,,,SI,REGULAR,19,,,Precargado desde snapshot local pre-Laboratorio.
ING-PLAN,ING20,GRAMATICA INGLESA II,2,,ANUAL,,MATERIA,,,SI,REGULAR,20,,,Precargado desde snapshot local pre-Laboratorio.
ING-PLAN,ING21,ESTUDIOS SOCIO-CULTURALES Y LITERARIOS DE PUBLOS DE HABLA INGLESA I,2,,ANUAL,,MATERIA,,,SI,REGULAR,21,,,Precargado desde snapshot local pre-Laboratorio.
ING-PLAN,ING22,EDI (TALLER DE EXPRESION ORAL),2,,ANUAL,,MATERIA,,,SI,REGULAR,22,,,Precargado desde snapshot local pre-Laboratorio.
ING-PLAN,ING23,FORMACION ETICA Y CIUDADANA,3,,ANUAL,,MATERIA,,,SI,REGULAR,23,,,Precargado desde snapshot local pre-Laboratorio.
ING-PLAN,ING24,FILOSOFIA DE LA EDUCACION,3,,ANUAL,,MATERIA,,,SI,REGULAR,24,,,Precargado desde snapshot local pre-Laboratorio.
